time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025011,535.5,117.4,1014.9,156.8,3128.9,162.5,542.9,1026.1,3148.1,155.1,72,7.1
0.027011,537.7,100.5,1023.3,144.1,3133.5,135.1,544.2,1028.9,3148.4,154.6,73,19.2
0.029011,539.4,90.9,1031.1,129.5,3141.1,108.4,546.3,1033.7,3148.8,154.1,73.7,19.1
0.031011,542.6,89.2,1039.9,116.6,3148.3,86.1,549.2,1040.1,3149.3,153.5,74.2,12.2
0.033011,548.4,92.4,1050.2,105.3,3153.3,70.7,552.7,1048.2,3149.6,152.9,74.5,4
0.035011,556.6,93.4,1060.7,93.0,3156.5,61.6,556.6,1057.7,3149.7,152.3,74.7,0
0.037011,565.9,88.5,1071.1,80.9,3159.2,57.6,560.9,1068.4,3149.4,151.6,74.8,0.4
0.039011,574.9,80.2,1082.0,71.9,3160.7,57.5,565.4,1080.1,3148.4,150.9,74.9,1.5
0.041011,582.0,70.7,1094.8,66.4,3159.8,59.3,569.8,1092.6,3146.6,150.3,75.1,3.1
0.043011,585.8,61.9,1109.4,63.5,3156.5,62.9,574.1,1105.7,3144,149.6,75.2,4.8
0.045011,587.7,54.1,1126.3,62.3,3151.5,70.9,578.1,1119.1,3140.2,148.9,75.5,6.5
0.047011,588.5,47.4,1142.8,60.8,3143.7,84.1,581.7,1132.7,3135.4,148.1,75.7,8.5
0.049011,588.5,41.9,1155.0,57.6,3133.0,97.5,584.9,1146.3,3129.4,147.4,75.9,10.9
0.051011,588.0,38.1,1163.2,54.0,3120.7,108.2,587.5,1159.6,3122.2,146.7,76.1,13.2
0.053011,587.8,36.5,1170.6,52.0,3108.1,115.3,589.6,1172.7,3114,146,76.3,15.1
0.055011,588.1,36.1,1179.3,51.6,3095.7,113.1,591.2,1185.4,3104.8,145.3,76.4,16
0.057011,588.2,36.2,1189.6,52.7,3083.8,101.5,592.3,1197.5,3094.7,144.6,76.4,15.6
0.059011,587.5,37.2,1201.8,58.0,3071.8,87.2,593,1209.2,3083.9,143.9,76.4,14.1
0.061011,586.7,38.9,1215.8,68.3,3060.7,74.2,593.3,1220.3,3072.6,143.2,76.3,12.3
0.063011,586.7,40.1,1230.2,78.5,3051.8,62.7,593.4,1230.9,3060.9,142.6,76.1,10.4
0.065011,586.8,41.4,1242.5,81.0,3044.1,54.1,593.3,1240.8,3049,141.9,75.9,9.3
0.067011,586.7,44.9,1251.5,76.0,3035.9,49.3,593.2,1250.3,3037.2,141.3,75.6,9
0.069011,587.2,49.7,1258.3,68.4,3027.5,46.4,593,1259.2,3025.5,140.7,75.3,9.1
0.071011,588.7,53.5,1264.2,62.6,3019.9,43.9,593,1267.5,3014,140.1,74.9,9.5
0.073011,590.9,57.8,1269.7,62.6,3011.6,43.5,593.1,1275.3,3002.9,139.6,74.5,9.8
0.075011,593.1,64.8,1275.5,71.5,2999.9,47.8,593.4,1282.5,2992.2,139.1,74,9.7
0.077011,595.8,71.4,1282.9,85.2,2984.2,55.2,593.8,1289.2,2981.8,138.6,73.5,9.2
0.079011,598.9,73.0,1293.7,88.8,2969.1,59.8,594.3,1295.1,2971.9,138.1,73.1,8.5
