time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025989,445.4,50.9,1346.6,139.2,2739.3,287.9,445.1,1446.1,2743.6,225.5,73.3,6.2
0.027989,445.9,46.9,1449.9,156.2,2736.5,318.2,444.4,1467.3,2742.5,225.3,73.2,7.8
0.029989,443.8,40.4,1537.1,142.7,2743.4,341.3,443.2,1501.4,2741.4,225,73,9.5
0.031989,441.3,34.9,1599.9,120.8,2746.7,350.9,441.8,1546.3,2741,224.8,72.8,11.3
0.033989,439.6,31.8,1644.0,104.2,2741.6,340.6,440.1,1599.5,2742.2,224.5,72.5,12.9
0.035989,437.6,28.5,1683.6,105.5,2743.7,348.6,438.4,1658.2,2745.9,224.3,72.4,14.2
0.037989,435.6,25.3,1725.9,125.2,2754.4,375.4,436.8,1719.9,2752.5,224,72.3,15.1
0.039989,434.3,23.2,1782.6,149.9,2769.9,386.3,435.3,1782.1,2762.2,223.7,72.3,15.9
0.041989,433.5,22.1,1839.3,162.1,2780.8,372.8,434,1842.7,2774.5,223.4,72.3,16.7
0.043989,433.0,22.2,1887.7,164.7,2786.2,336.1,433,1900.4,2788.5,223.2,72.2,17.6
0.045989,432.8,23.3,1935.3,165.5,2795.3,283.9,432.2,1954.5,2802.8,222.9,72.1,18.7
0.047989,432.5,24.4,1983.0,170.6,2811.5,242.4,431.7,2005,2816.1,222.7,72,20
0.049989,432.1,25.1,2034.7,181.6,2829.9,213.3,431.2,2052.2,2826.8,222.4,71.8,21.5
0.051989,431.7,25.9,2084.1,194.7,2840.4,198.3,430.9,2097.1,2833.7,222.2,71.6,22.9
0.053989,431.5,26.9,2136.1,212.6,2843.0,200.5,430.5,2140.6,2835.9,222,71.4,24.1
0.055989,430.9,27.5,2186.3,239.0,2838.1,222.4,430.2,2183.7,2833.3,221.8,71.2,24.7
0.057989,429.8,27.9,2238.7,283.7,2822.4,259.0,429.7,2227.2,2826.4,221.6,71,25
0.059989,428.5,28.3,2290.8,343.4,2796.9,278.1,429.2,2271.7,2816.6,221.4,70.8,25.1
0.061989,427.3,29.5,2343.6,392.1,2776.8,250.2,428.6,2317.1,2805.6,221.2,70.6,24.9
0.063989,426.5,31.4,2386.1,385.7,2778.8,205.1,428,2363.3,2795.5,221.1,70.5,24.7
0.065989,426.3,33.8,2421.7,344.4,2794.6,173.2,427.5,2409.4,2788.7,221,70.3,24.3
0.067989,426.4,36.0,2450.3,310.9,2812.9,161.0,427.1,2454.4,2787,220.8,70.1,23.7
0.069989,426.9,38.6,2478.9,294.7,2829.7,161.9,426.8,2497.4,2792.1,220.8,69.9,23
0.071989,427.6,41.3,2508.6,295.4,2839.8,170.7,426.7,2537,2804.6,220.7,69.7,22.2
0.073989,428.0,44.5,2544.9,308.2,2843.0,186.6,426.7,2572.4,2824.7,220.6,69.5,21.7
0.075989,428.0,47.6,2586.7,320.5,2841.7,213.9,426.9,2602.9,2851.3,220.5,69.3,21.6
0.077989,427.8,50.8,2637.4,302.9,2842.4,275.9,427.2,2627.9,2882.9,220.5,69.1,21.9
0.079989,427.8,53.5,2668.9,231.7,2872.7,381.0,427.4,2647.5,2917.2,220.5,68.9,22.4
0.081989,427.8,56.0,2672.7,177.5,2938.8,446.2,427.6,2661.9,2951.7,220.4,68.8,22.9
0.083989,427.6,58.2,2673.6,159.0,2987.2,443.7,427.6,2671.7,2984,220.4,68.6,23.3
0.085989,427.0,60.6,2678.7,151.4,3007.5,417.8,427.4,2677.6,3012.1,220.4,68.5,23.5
0.087989,426.0,63.1,2684.5,138.9,3018.4,411.9,426.9,2680.4,3034.4,220.4,68.3,23.4
0.089989,425.1,65.8,2686.7,121.4,3039.8,444.8,426.2,2681,3050.2,220.4,68.2,23.3
0.091989,424.5,68.8,2683.6,107.6,3074.1,512.3,425.3,2680.2,3059.6,220.5,68.1,23.1
0.093989,424.0,72.0,2676.6,99.7,3117.3,595.8,424.3,2678.7,3063.3,220.5,68,23.1
0.095989,423.3,75.3,2669.7,99.2,3145.3,665.2,423.2,2676.9,3062.8,220.5,67.9,23.2
0.097989,422.5,78.0,2668.7,107.2,3116.8,686.0,422.2,2675.2,3059.8,220.5,67.8,23.6
0.099989,421.9,80.1,2672.7,124.1,3044.0,633.3,421.4,2673.8,3056.1,220.6,67.7,24.1
0.101989,421.5,82.0,2675.0,146.1,2992.6,533.5,420.9,2673,3053.1,220.6,67.6,24.5
0.103989,420.9,84.5,2673.2,168.9,2980.2,449.5,420.7,2672.7,3052,220.6,67.5,24.8
