time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.026011,598.1,140.4,1338.8,175.2,2603.5,345.8,599.3,1347.7,2628.1,109.8,69.9,7.4
0.028011,623.8,142.3,1343.9,192.7,2641.3,297.2,603.3,1346.3,2629.7,109.4,70,7
0.030011,633.7,131.4,1343.2,178.3,2650.0,251.4,609.8,1343.9,2632.1,109,70.1,6.4
0.032011,634.6,117.7,1337.2,148.5,2647.4,216.7,618.4,1340.7,2635.3,108.6,70.2,5.7
0.034011,635.2,114.5,1329.6,124.0,2640.3,199.0,629,1336.7,2639.1,108.2,70.3,5
0.036011,640.9,124.8,1322.2,109.5,2634.7,197.4,641,1331.9,2643.3,107.7,70.4,4.4
0.038011,649.7,133.3,1316.6,98.5,2637.5,200.6,654.1,1326.5,2647.6,107.2,70.4,3.6
0.040011,655.1,126.0,1313.8,86.1,2646.6,195.4,667.6,1320.4,2651.8,106.7,70.3,2.8
0.042011,659.4,113.9,1312.8,75.6,2658.5,181.0,681.2,1313.9,2655.6,106.2,70.1,2.1
0.044011,670.4,110.9,1313.9,75.2,2671.7,161.2,694.3,1307,2658.9,105.7,69.8,1.7
0.046011,693.5,121.8,1318.9,94.1,2679.0,149.9,706.5,1299.7,2661.5,105.2,69.5,1.7
0.048011,717.9,127.9,1327.6,129.6,2677.0,165.8,717.5,1292.3,2663.2,104.6,69.1,2.3
0.050011,727.9,121.1,1331.3,164.0,2665.3,211.3,726.8,1284.7,2664,104.1,68.6,3.2
0.052011,726.9,118.0,1318.7,178.9,2652.6,247.3,734.4,1277.1,2663.9,103.5,68.2,4.1
0.054011,725.6,134.5,1283.4,167.8,2656.9,257.8,740.1,1269.5,2662.9,103,67.8,4.8
0.056011,736.6,172.6,1245.3,125.2,2669.2,268.1,743.8,1262.1,2661.2,102.4,67.4,5
0.058011,754.7,194.2,1228.0,92.6,2672.2,305.9,745.7,1254.7,2659,101.9,67.1,4.8
0.060011,755.6,187.5,1219.3,75.6,2649.4,301.1,745.8,1247.6,2656.6,101.4,66.8,4.5
0.062011,743.8,164.6,1213.9,66.5,2618.9,217.8,744.6,1240.8,2654.2,100.9,66.5,4.1
0.064011,733.3,141.7,1209.5,65.6,2609.0,151.5,742.2,1234.2,2652.2,100.4,66.2,3.8
0.066011,727.5,120.9,1201.8,69.7,2613.0,122.1,739.1,1228,2651,99.9,66,3.9
0.068011,725.5,101.1,1191.2,68.8,2622.7,107.3,735.5,1222,2650.8,99.4,65.8,4.3
0.070011,723.9,87.4,1183.5,63.5,2637.4,102.2,732,1216.4,2652,98.9,65.6,4.8
0.072011,723.1,84.2,1181.3,63.5,2655.3,111.5,728.9,1211.2,2654.9,98.5,65.3,5.3
0.074011,727.6,100.6,1190.0,80.4,2673.3,146.0,726.4,1206.3,2659.7,98.1,64.9,5.6
0.076011,741.3,133.5,1215.5,125.4,2686.0,213.4,724.9,1201.7,2666.6,97.7,64.5,5.5
0.078011,758.4,148.1,1256.0,188.7,2693.7,284.9,724.7,1197.5,2675.6,97.3,64.1,5.1
0.080011,763.8,137.8,1278.4,226.5,2703.7,295.9,725.7,1193.7,2686.7,96.9,63.9,4.5
0.082011,764.8,132.5,1271.1,244.6,2731.7,244.1,728,1190.3,2699.8,96.6,64,3.8
0.084011,768.6,143.2,1237.3,256.5,2770.6,161.2,731.7,1187.3,2714.7,96.2,64.3,3.4
0.086011,766.2,161.1,1187.0,251.7,2792.8,115.9,736.5,1184.7,2731.1,95.9,64.7,3.3
0.088011,752.0,157.4,1150.4,213.2,2798.8,102.0,742.2,1182.5,2748.6,95.6,65.1,3.5
0.090011,738.4,130.5,1138.1,166.1,2796.6,99.6,748.5,1180.7,2766.7,95.3,65.3,3.8
0.092011,731.4,107.8,1140.8,135.1,2791.8,101.1,755.2,1179.5,2784.9,95,65.4,4.2
0.094011,728.3,102.6,1151.4,123.9,2788.4,106.2,761.7,1178.6,2802.7,94.7,65.4,4.7
0.096011,731.6,122.7,1166.6,135.4,2790.6,120.8,767.8,1178.3,2819.4,94.4,65.2,5.2
0.098011,743.4,147.4,1176.6,153.2,2802.8,148.4,773.1,1178.5,2834.4,94.2,65.1,5.8
0.100011,749.8,151.9,1176.0,157.3,2821.8,179.3,777.1,1179.2,2847.3,93.9,64.9,6.5
0.102011,747.6,145.4,1171.6,150.2,2835.2,208.5,779.8,1180.3,2857.5,93.7,64.7,7.2
0.104011,748.6,151.7,1173.7,153.2,2835.7,243.0,780.7,1182,2864.5,93.4,64.5,7.8
0.106011,761.0,182.6,1183.1,176.6,2824.4,278.3,779.9,1184.1,2867.9,93.1,64.4,8.4
0.108011,780.4,215.0,1193.1,198.3,2807.0,273.6,777.2,1186.6,2867.5,92.9,64.2,9.3
0.110011,779.6,215.7,1192.6,183.9,2795.7,236.9,772.7,1189.6,2863.1,92.6,64.1,10.1
0.112011,762.7,192.0,1186.3,149.3,2789.2,203.1,766.6,1192.8,2854.6,92.4,63.9,10.7
0.114011,747.3,173.0,1182.7,122.6,2786.6,179.0,759.1,1196.4,2842,92.2,63.7,10.8
0.116011,741.2,189.6,1187.0,121.5,2790.3,172.4,750.6,1200.2,2825.4,91.9,63.6,9.9
0.118011,749.5,228.2,1202.7,144.6,2799.4,191.8,741.5,1204.1,2805.2,91.7,63.5,7.9
0.120011,755.4,228.0,1218.1,164.4,2801.4,212.0,732.1,1208.2,2781.6,91.5,63.4,5.3
0.122011,750.3,194.6,1224.0,162.5,2789.3,215.5,723.1,1212.2,2755,91.2,63.4,2.8
