time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.026000,621.7,68.0,1451.3,89.4,2734.4,527.5,622.4,1442.6,2755.8,115.9,62.9,14.2
0.028000,621.6,69.2,1436.9,83.2,2754.0,526.5,621.5,1435.3,2751.7,116,62.9,15
0.030000,620.4,64.2,1424.0,81.5,2758.4,502.5,620,1423.9,2745.3,116,63,15.4
0.032000,618.8,62.0,1407.2,86.2,2749.0,429.3,618.2,1409.3,2737,116,63.1,15.5
0.034000,616.0,65.1,1384.6,92.0,2731.8,343.1,616,1392.6,2727.3,116,63.2,15.5
0.036000,612.9,65.1,1364.9,88.6,2714.8,287.8,613.6,1375.1,2717.1,116,63.2,15.5
0.038000,611.1,59.9,1353.3,79.0,2702.1,259.3,611.1,1357.5,2706.8,116,63.3,15.3
0.040000,609.8,57.3,1345.3,75.0,2694.5,251.0,608.4,1340.7,2697.3,116,63.4,15
0.042000,606.6,60.8,1333.1,81.2,2689.1,254.8,605.4,1324.9,2688.9,115.9,63.4,14.6
0.044000,601.0,63.7,1314.7,89.8,2681.8,256.0,602.1,1310.1,2681.9,115.9,63.4,14.1
0.046000,595.6,60.7,1296.7,87.6,2674.0,240.3,598.2,1295.8,2676.6,115.9,63.5,13.4
0.048000,591.7,58.4,1282.5,78.1,2670.4,209.7,593.6,1281.8,2672.8,115.9,63.4,12.4
0.050000,587.9,64.5,1267.3,71.2,2670.4,170.8,588,1267.3,2670.2,115.9,63.4,11.3
0.052000,582.4,74.8,1249.2,67.1,2669.3,136.6,581.2,1252.2,2668.2,115.9,63.4,10.3
0.054000,574.9,77.1,1233.2,62.5,2666.9,116.3,573.2,1236.2,2666.2,115.8,63.3,9.4
0.056000,566.5,73.7,1220.9,59.2,2665.1,110.5,564,1219.4,2663.7,115.8,63.1,9
0.058000,556.4,75.4,1207.1,62.0,2664.1,123.0,553.6,1202.3,2660,115.8,63,8.9
0.060000,542.4,85.5,1184.9,70.7,2659.2,154.2,542.2,1185.3,2654.9,115.7,62.7,9.1
0.062000,527.6,90.5,1161.4,73.1,2647.0,176.3,530,1169.1,2648.1,115.7,62.5,9.3
0.064000,514.8,84.5,1146.8,67.6,2634.2,175.3,517.4,1154.1,2639.9,115.6,62.3,9.4
0.066000,502.1,79.5,1139.4,64.7,2626.1,164.6,504.6,1140.6,2630.6,115.6,62.1,9.2
0.068000,487.9,84.0,1132.6,70.6,2619.5,153.1,491.8,1128.6,2621,115.5,61.9,8.7
0.070000,476.4,93.1,1124.7,80.9,2613.3,134.3,479.4,1118,2611.8,115.4,61.6,8
0.072000,469.9,95.1,1117.0,86.2,2608.5,113.3,467.6,1108.3,2604.1,115.4,61.3,7.4
0.074000,463.7,85.4,1105.9,82.9,2602.9,108.3,456.4,1098.7,2598.5,115.3,60.9,6.9
0.076000,453.9,75.8,1088.9,77.3,2595.5,120.8,446.1,1088.7,2595.8,115.2,60.3,6.6
0.078000,439.5,75.1,1068.1,72.9,2590.5,138.0,436.6,1077.9,2596.1,115.1,59.7,6.6
0.080000,425.3,75.5,1052.7,63.6,2594.2,145.8,428.1,1065.9,2599.4,115,59,6.7
0.082000,415.8,70.3,1045.6,50.0,2604.7,141.9,420.5,1053,2605.4,115,58.2,6.8
0.084000,409.5,62.9,1041.5,37.0,2617.2,139.5,414,1039.6,2613.2,114.9,57.3,6.6
0.086000,403.8,60.9,1035.6,29.5,2627.3,159.8,408.6,1026.6,2621.7,114.8,56.2,6.8
0.088000,398.8,67.2,1025.6,27.6,2634.0,228.3,404.3,1014.9,2630,114.7,55,11
0.090000,398.2,78.2,1012.5,29.2,2640.4,347.8,401.2,1005.7,2636.8,114.6,53.7,15.7
0.092000,402.6,86.1,998.4,30.2,2642.6,461.3,399.3,999.7,2641.3,114.5,52.1,16.4
0.094000,409.5,90.7,985.6,29.0,2631.3,521.8,398.7,997.6,2642.9,114.4,50.3,8.6
